ボロボロのゴミ屋敷がどうやっても片付かなくて…,ピカピカ,メラメラ,グチャグチャ,0,0,0,0,3,5,1,2,1,あのゴミ屋敷はピカピカ新築同様のお屋敷に生まれ変わりました！流石魔女様です！！,2000 万ゴールド…だそうです。火事の賠償金額ですよ。ゴミは燃やせば解決なんて、短絡 的すぎましたね。,ゴミ屋敷はさらにグチャグチャになりました。あの惨状からの回復は、もう見込めないで しょうね。
村が酷い寒波に襲われて、凍え死んでしまいます,ポカポカ,グラグラ,ビチャビチャ,0,0,0,5,3,4,1,1,1,村まるごと温めてしまうとは、流石の一言ですよ。魔女様。 防寒着を売っていた村の服屋は廃業したとか。,ええ、全滅です。村人は皆寒さで衰弱しており、魔女様が起こした地震がとどめになった ようです。,先生の魔法で水浸しになったところで寒波が強まり、村はたちどころに凍り付いてしまい ました。残念です。
毎日硬い床の上で寝るしかなくて…辛いです,ふわふわ,ガチガチ,メエメエ,0,0,0,0,3,5,1,2,1,床もふわふわになれば極上のベッド同然ですね！さすが魔女様です,嫌がらせですか？魔女様。真面目にお願いしますよ。,大量の羊の鳴き声で不眠症が悪化したそうです。
大きな帆船が風をつかめず進めません！,ヒューヒュー,グルグル,ずんずん,0,0,0,5,3,4,1,1,1,追い風が帆を満たし、船は勢いよく進み出しました！流石です魔女様！,風は渦を巻き、竜巻へと成長しました。言うまでもなく船は…。,船の積み荷が急に重くなり、危うく沈みかけました。次は慎重にお願いします。
村の灯台が点かなくなってしまいました…,キラキラ,ゴロゴロ,ビリビリ,0,0,0,5,3,2,1,3,1,灯台はキラキラ輝きだしました。舟も安心して航行できますね！,灯台を雷が貫きました。魔女様のことが、たまに分からなくなりますよ,火で周囲を照らす灯台に、電気を流して何になるというんですか…?
畑を荒らす魔物に悩まされています…,スヤスヤ,グラグラ,イライラ,0,0,0,5,3,4,1,2,1,魔物は眠りにつき、鎮圧に成功しました。流石の手腕ですね！,地震に驚き、魔物達は逃げ出しました。ですが魔女様、畑まで壊滅してしまいましたよ…!,魔物が怒りだし狂暴化しました。これ以上怒らせないでくださいね。
猛暑の中干ばつが続き、水不足で大変です…,ザーザー,じめじめ,サンサン,0,0,0,5,3,1,1,4,1,干上がった大地に恵みの雨が降り注ぎました。皆さん魔女様に感謝していますよ！,あの猛暑に加えて魔法による酷い湿気、暑さで 100 人が倒れたそうですが…無理もないで すね。,太陽はさらに激しく照り付けて、おびただしい数の村人が犠牲に…わざと、やってるんで すか？
村の少年が、崩れた瓦礫に足を挟まれて抜けません…,ヌルヌル,ズルズル,バラバラ,0,0,0,0,3,5,1,2,1,女の子はゆっくり宙に浮かび、無事に地面に降り立ちました！魔女様、素晴らしい仕事を しましたね！,危うく女の子は落ちるところだったんですよ！木をゆらゆら揺らすなんて…なに考えてる んですか！,ただでさえ高かった木は急成長し、もう女の子の姿すら見えなくなってしまいました…
村の集会場が狭すぎて、村人でぎゅうぎゅうになってしまっています…,ヒロビロ,スカスカ,ボロボロ,0,0,0,5,3,4,1,2,1,狭かったはずの集会場は魔法の力で二倍の広さに！不思議ですけど、外観は変わらないん ですよね。,集会場の過密状態は解消しましたが…村人達は一体どこに消えたのでしょうか?依頼人もい なくなってしまいました。,集会場の老朽化が一気に加速し、ついに倒壊しました。聞きますが、なにがしたかったん ですか？
罪人を捕らえたのですが、なかなか情報を吐きません。,べらべら,はきはき,びくびく,0,0,0,5,3,1,1,3,1,魔法にかかった罪人は、突如べらべらと秘密を話しだし、残りの仲間の情報を全て話して しまったそうです。やりましたね！,うまくいくと思ったんですがね。はっきりと黙秘の意思を示すだけで、何の話も出てきま せんでしたよ。,罪人は、ずっと何かにおびえて話もできなくなったそうです。情報を吐かせるどころでは ありませんよ。
